event_id,user_id,event,amount,ts
e001,u1,Purchase,120.5,2026-01-11T09:05:00+07:00
e002,u1,Purchase,120.5,2026-01-11T09:05:00+07:00
e003,u2,purchase,75.0,2026-01-11T09:05:00+07:00
e004,u2,purchase,75.0,2026-01-11T09:05:00+07:00
e005,u1,purchase,30.0,2026-01-13T10:01:00+07:00
e006,u3,refund,-30.0,2026-01-17T10:10:00+07:00
e007,u3,purchase,200.0,2026-01-14T10:12:00+07:00
e008,u3,purchase,200.0,2026-01-12T10:12:00+07:00
e008,u3,purchase,200.0,2026-01-11T10:12:00+07:00
e009,u2,purchase,15.0,2026-01-10T11:00:00+07:00
ae09,u2,purchase,15.0,2026-01-10T11:00:00+07:00
e010,u2,purchase,15.0,2026-01-13T11:00:00+07:00
e011,uu,purchase,15.0,2026-01-13T11:00:00+07:00
